biosample_id,run_accession,fastq_file,download_url
SAMN27305103,SRR18636082,SRR18636082_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/082/SRR18636082/SRR18636082_2.fastq.gz
SAMN27305103,SRR23035463,SRR23035463_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/063/SRR23035463/SRR23035463_1.fastq.gz
SAMN37563190,SRR26193454,SRR26193454_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR261/054/SRR26193454/SRR26193454_1.fastq.gz
SAMN06292067,SRR5229943,SRR5229943_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR522/003/SRR5229943/SRR5229943_subreads.fastq.gz
SAMN37563202,SRR26193458,SRR26193458_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR261/058/SRR26193458/SRR26193458_subreads.fastq.gz
SAMN16406479,SRR12801729,SRR12801729_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/029/SRR12801729/SRR12801729_1.fastq.gz
SAMN41453956,SRR29081044,SRR29081044_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/044/SRR29081044/SRR29081044_1.fastq.gz
SAMN41453956,SRR29081044,SRR29081044_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/044/SRR29081044/SRR29081044_2.fastq.gz
SAMN41453956,SRR29081117,SRR29081117_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR290/017/SRR29081117/SRR29081117_1.fastq.gz
SAMD00089644,DRR261063,DRR261063_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR261/DRR261063/DRR261063_1.fastq.gz
SAMD00089644,DRR261063,DRR261063_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR261/DRR261063/DRR261063_2.fastq.gz
SAMD00089644,DRR099694,DRR099694_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099694/DRR099694_1.fastq.gz
SAMD00089644,DRR099694,DRR099694_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099694/DRR099694_2.fastq.gz
SAMD00089644,DRR261199,DRR261199_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR261/DRR261199/DRR261199_1.fastq.gz
SAMN41141372,SRR34323112,SRR34323112_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR343/012/SRR34323112/SRR34323112_1.fastq.gz
SAMN16406466,SRR12801726,SRR12801726_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/026/SRR12801726/SRR12801726_1.fastq.gz
SAMEA13188689,ERR9030503,ERR9030503.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/003/ERR9030503/ERR9030503.fastq.gz
SAMEA13188689,ERR9030539,ERR9030539_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/009/ERR9030539/ERR9030539_1.fastq.gz
SAMEA13188689,ERR9030539,ERR9030539_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/009/ERR9030539/ERR9030539_2.fastq.gz
SAMEA13188689,ERR9030258,ERR9030258.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/008/ERR9030258/ERR9030258.fastq.gz
SAMD00089643,DRR261054,DRR261054_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR261/DRR261054/DRR261054_1.fastq.gz
SAMD00089643,DRR261054,DRR261054_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR261/DRR261054/DRR261054_2.fastq.gz
SAMD00089643,DRR099693,DRR099693_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099693/DRR099693_1.fastq.gz
SAMD00089643,DRR099693,DRR099693_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099693/DRR099693_2.fastq.gz
SAMD00089643,DRR261198,DRR261198_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/DRR261/DRR261198/DRR261198_1.fastq.gz
SAMN37563195,SRR26193449,SRR26193449_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR261/049/SRR26193449/SRR26193449_1.fastq.gz
SAMEA115401566,ERR12742684,ERR12742684.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/084/ERR12742684/ERR12742684.fastq.gz
SAMEA115401566,ERR12743219,ERR12743219.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/019/ERR12743219/ERR12743219.fastq.gz
SAMN27028218,SRR18511645,SRR18511645_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/045/SRR18511645/SRR18511645_1.fastq.gz
SAMN27028218,SRR18511645,SRR18511645_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/045/SRR18511645/SRR18511645_2.fastq.gz
SAMN37563188,SRR26193464,SRR26193464_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR261/064/SRR26193464/SRR26193464_1.fastq.gz
